Runs :50
Difference : 1.0E-4
0.0638000 50 0 0.0
0.0639000 50 0 0.0
0.0640000 50 0 0.0
0.0641000 50 0 0.0
0.0642000 50 0 0.0
0.0643000 50 0 0.0
0.0644000 50 0 0.0
0.0645000 50 0 0.0
0.0646000 50 0 0.0
0.0647000 50 0 0.0
0.0648000 50 0 0.0
0.0649000 50 0 0.0
0.0650000 50 0 0.0
0.0651000 50 0 0.0
0.0652000 50 0 0.0
0.0653000 50 0 0.0
0.0654000 50 0 0.0
0.0655000 50 0 0.0
0.0656000 50 0 0.0
0.0657000 50 0 0.0
0.0658000 50 0 0.0
0.0659000 50 0 0.0
0.0660000 50 0 0.0
0.0661000 50 0 0.0
0.0662000 50 0 0.0
0.0663000 50 0 0.0
0.0664000 50 0 0.0
0.0665000 50 0 0.0
0.0666000 50 0 0.0
0.0667000 50 0 0.0
0.0668000 50 0 0.0
0.0669000 50 0 0.0
0.0670000 50 0 0.0
0.0671000 50 0 0.0
0.0672000 50 0 0.0
0.0673000 50 0 0.0
0.0674000 50 0 0.0
0.0675000 50 0 0.0
0.0676000 50 0 0.0
0.0677000 50 0 0.0
0.0678000 50 0 0.0
0.0679000 50 0 0.0
0.0680000 50 0 0.0
0.0681000 50 0 0.0
0.0682000 50 0 0.0
0.0683000 50 0 0.0
0.0684000 50 0 0.0
0.0685000 50 0 0.0
0.0686000 50 0 0.0
0.0687000 50 0 0.0
0.0688000 50 0 0.0
0.0689000 50 0 0.0
0.0690000 50 0 0.0
0.0691000 50 0 0.0
0.0692000 50 0 0.0
0.0693000 50 0 0.0
0.0694000 50 0 0.0
0.0695000 50 0 0.0
0.0696000 50 0 0.0
0.0697000 50 0 0.0
0.0698000 50 0 0.0
0.0699000 50 0 0.0
0.0700000 50 0 0.0
0.0701000 50 0 0.0
0.0702000 50 0 0.0
0.0703000 50 0 0.0
0.0704000 50 0 0.0
0.0705000 50 0 0.0
0.0706000 50 0 0.0
0.0707000 50 0 0.0
0.0708000 50 0 0.0
0.0709000 50 0 0.0
0.0710000 50 0 0.0
0.0711000 50 0 0.0
0.0712000 50 0 0.0
0.0713000 50 0 0.0
0.0714000 50 0 0.0
0.0715000 50 0 0.0
0.0716000 50 0 0.0
0.0717000 50 0 0.0
0.0718000 50 0 0.0
0.0719000 50 0 0.0
0.0720000 50 0 0.0
0.0721000 50 0 0.0
0.0722000 50 0 0.0
0.0723000 50 0 0.0
0.0724000 50 0 0.0
0.0725000 50 0 0.0
0.0726000 50 0 0.0
0.0727000 50 0 0.0
0.0728000 50 0 0.0
0.0729000 50 0 0.0
0.0730000 50 0 0.0
0.0731000 50 0 0.0
0.0732000 50 0 0.0
