Runs: 500
Size : 50
55 1889 0.6244628
55 1814 0.5996694
55 1829 0.6046281
55 1756 0.5804959
55 1731 0.5722314
55 1808 0.59768593
55 1694 0.56
55 1835 0.60661155
55 1692 0.55933887
55 1811 0.5986777
55 1745 0.57685953
55 1769 0.5847934
55 1847 0.61057854
55 1782 0.5890909
55 1874 0.61950415
55 1961 0.64826447
55 1746 0.5771901
55 1715 0.56694216
55 1782 0.5890909
55 1587 0.5246281
55 1620 0.5355372
55 1806 0.5970248
55 1770 0.58512396
55 1759 0.5814876
55 1719 0.5682645
55 1734 0.5732231
55 1995 0.6595041
55 1683 0.55636364
55 1827 0.60396695
55 1715 0.56694216
55 1827 0.60396695
55 1870 0.6181818
55 1812 0.59900826
55 1813 0.5993388
55 1846 0.6102479
55 1863 0.6158678
55 1898 0.627438
55 1775 0.58677685
55 2021 0.66809916
55 1633 0.53983474
55 1872 0.61884296
55 1769 0.5847934
55 1745 0.57685953
55 1736 0.5738843
55 1755 0.58016527
55 1824 0.6029752
55 1832 0.60561985
55 1770 0.58512396
55 1811 0.5986777
55 1731 0.5722314
55 1746 0.5771901
55 1706 0.56396693
55 1864 0.61619836
55 1743 0.57619834
55 1671 0.5523967
55 1835 0.60661155
55 1790 0.59173554
55 1788 0.5910744
55 1872 0.61884296
55 1717 0.5676033
55 1810 0.5983471
55 1769 0.5847934
55 1828 0.6042975
55 1806 0.5970248
55 1853 0.612562
55 1745 0.57685953
55 1880 0.6214876
55 1671 0.5523967
55 1794 0.5930579
55 1779 0.5880992
55 1906 0.63008267
55 1757 0.58082646
55 1870 0.6181818
55 1748 0.57785124
55 1748 0.57785124
55 1841 0.608595
55 1858 0.6142149
55 1808 0.59768593
55 1842 0.60892564
55 1692 0.55933887
55 1741 0.5755372
55 1834 0.606281
55 1729 0.5715703
55 1711 0.5656198
55 1676 0.5540496
55 1816 0.6003306
55 1787 0.5907438
55 1726 0.5705785
55 1626 0.53752065
55 1708 0.5646281
55 1753 0.57950413
55 1818 0.6009917
55 1820 0.6016529
55 1844 0.6095868
55 1882 0.62214875
55 1760 0.58181816
55 1837 0.60727274
55 1857 0.61388427
55 1750 0.5785124
55 1892 0.62545455
55 1824 0.6029752
55 1714 0.5666116
55 1803 0.59603304
55 1921 0.6350413
55 1801 0.5953719
55 1783 0.5894215
55 1793 0.59272724
55 1743 0.57619834
55 1823 0.6026446
55 1847 0.61057854
55 1871 0.6185124
55 1773 0.5861157
55 1821 0.6019835
55 1799 0.59471077
55 1780 0.58842975
55 1684 0.5566942
55 1801 0.5953719
55 1976 0.65322316
55 1729 0.5715703
55 1799 0.59471077
55 1727 0.5709091
55 1751 0.578843
55 1900 0.6280992
55 1797 0.5940496
55 1653 0.54644626
55 1708 0.5646281
55 1786 0.5904132
55 1743 0.57619834
55 1942 0.64198345
55 1875 0.6198347
55 1748 0.57785124
55 1837 0.60727274
55 1850 0.61157024
55 1886 0.6234711
55 1801 0.5953719
55 1860 0.61487603
